"Species"	"TotalSleep"	"BodyWt"	"Danger"
"Africanelephant"	3.3	6654	2
"Africangiantpouchedrat"	8.3	1	2
"ArcticFox"	12.5	3.385	1
"Arcticgroundsquirrel"	16.5	0.92	2
"Asianelephant"	3.9	2547	3
"Baboon"	9.8	10.55	3
"Bigbrownbat"	19.7	0.023	1
"Braziliantapir"	6.2	160	3
"Cat"	14.5	3.3	1
"Chimpanzee"	9.7	52.16	1
"Chinchilla"	12.5	0.425	3
"Cow"	3.9	465	3
"Deserthedgehog"	10.3	0.55	2
"Donkey"	3.1	187.1	3
"EasternAmericanmole"	8.4	0.075	1
"Echidna"	8.6	3	2
"Europeanhedgehog"	10.7	0.785	2
"Galago"	10.7	0.2	2
"Genet"	6.1	1.41	1
"Giantarmadillo"	18.1	60	1
"Goat"	3.8	27.66	3
"Goldenhamster"	14.4	0.12	2
"Gorilla"	12	207	1
"Grayseal"	6.2	85	1
"Graywolf"	13	36.33	1
"Groundsquirrel"	13.8	0.101	2
"Guineapig"	8.2	1.04	3
"Horse"	2.9	521	3
"Jaguar"	10.8	100	1
"Lessershort-tailedshrew"	9.1	0.005	3
"Littlebrownbat"	19.9	0.01	1
"Molerat"	10.6	0.122	1
"Mountainbeaver"	11.2	1.35	2
"Mouse"	13.2	0.023	2
"Muskshrew"	12.8	0.048	2
"NAmericanopossum"	19.4	1.7	1
"Nine-bandedarmadillo"	17.4	3.5	1
"Owlmonkey"	17	0.48	2
"Patasmonkey"	10.9	10	3
"Phanlanger"	13.7	1.62	2
"Pig"	8.4	192	3
"Rabbit"	8.4	2.5	3
"Raccoon"	12.5	4.288	2
"Rat"	13.2	0.28	2
"Redfox"	9.8	4.235	1
"Rhesusmonkey"	9.6	6.8	2
"Rockhyrax(Heterob)"	6.6	0.75	2
"Rockhyrax(Procaviahab)"	5.4	3.6	2
"Roedeer"	2.6	14.83	3
"Sheep"	3.8	55.5	3
"Slowloris"	11	1.4	2
"Starnosedmole"	10.3	0.06	2
"Tenrec"	13.3	0.9	2
"Treehyrax"	5.4	2	2
"Treeshrew"	15.8	0.104	2
"Vervet"	10.3	4.19	3
"Wateropossum"	19.4	3.5	1
