"","date","weight","temp","rain","max_temp","year","weekday","weekend","month","quarter"
"1",2018-01-02,65.55,NA,NA,NA,2018,3,FALSE,1,1
"2",2018-01-03,42.25,NA,NA,NA,2018,4,FALSE,1,1
"3",2018-01-04,25.15,NA,NA,NA,2018,5,FALSE,1,1
"4",2018-01-05,35.25,NA,NA,NA,2018,6,FALSE,1,1
"5",2018-01-06,28.55,NA,NA,NA,2018,7,FALSE,1,1
"6",2018-01-07,11.7,NA,NA,NA,2018,1,FALSE,1,1
"7",2018-01-08,43.75,NA,NA,NA,2018,2,FALSE,1,1
"8",2018-01-09,59.45,NA,NA,NA,2018,3,FALSE,1,1
"9",2018-01-10,34.7,NA,NA,NA,2018,4,FALSE,1,1
"10",2018-01-11,44.35,NA,0.7,NA,2018,5,FALSE,1,1
"11",2018-01-12,35.5,"1.0",0.3,2.1,2018,6,FALSE,1,1
"12",2018-01-13,18.15,"0.5",0,1.5,2018,7,FALSE,1,1
"13",2018-01-14,9.75,"-0.5",0,0.2,2018,1,FALSE,1,1
"14",2018-01-15,48,"-0.3",8.9,0.9,2018,2,FALSE,1,1
"15",2018-01-16,41.85,"2.4",6.6,3.8,2018,3,FALSE,1,1
"16",2018-01-17,45.7,"1.9",0.1,3.4,2018,4,FALSE,1,1
"17",2018-01-18,55.7,"0.9",0,1.9,2018,5,FALSE,1,1
"18",2018-01-19,34.35,"-1.9",0.3,1.2,2018,6,FALSE,1,1
"19",2018-01-20,8.95,"0.2",0,1.3,2018,7,FALSE,1,1
"20",2018-01-21,29.75,"0.2",0,1,2018,1,FALSE,1,1
"21",2018-01-22,28.6,"-0.6",0,0.7,2018,2,FALSE,1,1
"22",2018-01-23,57.15,"0.7",16.6,1.8,2018,3,FALSE,1,1
"23",2018-01-24,52.65,"6.7",5.4,9.1,2018,4,FALSE,1,1
"24",2018-01-25,54.3,"6.1",1.8,7.5,2018,5,FALSE,1,1
"25",2018-01-26,81.4,"5.1",0,5.8,2018,6,FALSE,1,1
"26",2018-01-27,26.6,"1.5",10.3,5.2,2018,7,FALSE,1,1
"27",2018-01-28,11.9,"5.9",7.4,7.4,2018,1,FALSE,1,1
"28",2018-01-29,51.7,"4.0",7.8,7.2,2018,2,FALSE,1,1
"29",2018-01-30,44.8,"2.7",1.1,5.6,2018,3,FALSE,1,1
"30",2018-01-31,79.3,"4.0",13.8,5.3,2018,4,FALSE,1,1
"31",2018-02-01,49.1,"2.9",4.2,5.3,2018,5,FALSE,2,1
"32",2018-02-02,38.6,"-2.3",0.4,4.1,2018,6,FALSE,2,1
"33",2018-02-03,14.45,"-3.0",0.1,-2.3,2018,7,FALSE,2,1
"34",2018-02-04,23.5,"-3.3",0,-2.1,2018,1,FALSE,2,1
"35",2018-02-05,33,"-6.1",0,-2.3,2018,2,FALSE,2,1
"36",2018-02-06,37.3,"-2.6",0.3,-0.8,2018,3,FALSE,2,1
"37",2018-02-07,50.05,"-0.6",2.9,1.6,2018,4,FALSE,2,1
"38",2018-02-08,36.85,"1.7",0,3.1,2018,5,FALSE,2,1
"39",2018-02-09,37.15,"0.2",0,1.7,2018,6,FALSE,2,1
"40",2018-02-10,22.05,"-0.4",0,1,2018,7,FALSE,2,1
"41",2018-02-11,5.65,"-0.1",14.5,1.3,2018,1,FALSE,2,1
"42",2018-02-12,49.25,"1.9",12.1,2.8,2018,2,FALSE,2,1
"43",2018-02-13,32.4,"1.9",0.1,3.2,2018,3,FALSE,2,1
"44",2018-02-14,43.65,"2.0",0,4.5,2018,4,FALSE,2,1
"45",2018-02-15,38.95,"1.0",5.1,2.8,2018,5,FALSE,2,1
"46",2018-02-16,40.9,"1.5",0.3,3.4,2018,6,FALSE,2,1
"47",2018-02-17,15.15,"-0.5",0,2.2,2018,7,FALSE,2,1
"48",2018-02-18,27.8,"1.5",10.4,3.3,2018,1,FALSE,2,1
"49",2018-02-19,34.4,"1.1",7.1,2.2,2018,2,FALSE,2,1
"50",2018-02-20,50.9,"0.2",0.1,1.8,2018,3,FALSE,2,1
"51",2018-02-21,28.75,"-0.3",1,0.7,2018,4,FALSE,2,1
"52",2018-02-22,61.35,"-4.0",0,-0.2,2018,5,FALSE,2,1
"53",2018-02-23,45.2,"-0.9",0,0.7,2018,6,FALSE,2,1
"54",2018-02-24,16.4,"-2.9",0,0.5,2018,7,FALSE,2,1
"55",2018-02-25,16.7,"-5.8",0,-3,2018,1,FALSE,2,1
"56",2018-02-26,38.05,"-6.1",0.1,-2.1,2018,2,FALSE,2,1
"57",2018-02-27,42.9,"-7.7",0,-4.8,2018,3,FALSE,2,1
"58",2018-02-28,43.2,"-9.9",0,-6.6,2018,4,FALSE,2,1
"59",2018-03-01,32.3,"-8.2",0,-4.6,2018,5,FALSE,3,1
"60",2018-03-02,35.65,"-4.7",0,-3.1,2018,6,FALSE,3,1
"61",2018-03-03,14.5,"-2.9",0,-0.7,2018,7,FALSE,3,1
"62",2018-03-04,17.3,"-1.9",0,0.3,2018,1,FALSE,3,1
"63",2018-03-05,40.8,"-1.2",9.5,0.3,2018,2,FALSE,3,1
"64",2018-03-06,29.05,"0.5",0.1,2.1,2018,3,FALSE,3,1
"65",2018-03-07,39.05,"2.6",3,4.6,2018,4,FALSE,3,1
"66",2018-03-08,38.5,"-0.0",2.2,2.2,2018,5,FALSE,3,1
"67",2018-03-09,29.95,"-1.8",0,0.2,2018,6,FALSE,3,1
"68",2018-03-10,17.75,"-1.9",0,2.9,2018,7,FALSE,3,1
"69",2018-03-11,22.7,"0.5",12.9,2.4,2018,1,FALSE,3,1
"70",2018-03-12,49.2,"4.7",0,6.1,2018,2,FALSE,3,1
"71",2018-03-13,47.05,"2.4",0,4.6,2018,3,FALSE,3,1
"72",2018-03-14,42.85,"1.5",0,4,2018,4,FALSE,3,1
"73",2018-03-15,34.3,"-1.5",0,1.4,2018,5,FALSE,3,1
"74",2018-03-16,41.4,"-3.8",0,-0.1,2018,6,FALSE,3,1
"75",2018-03-17,21.9,"-4.0",0,0.3,2018,7,FALSE,3,1
"76",2018-03-18,18.55,"-4.1",0,2.8,2018,1,FALSE,3,1
"77",2018-03-19,35.3,"-0.3",0.7,3.3,2018,2,FALSE,3,1
"78",2018-03-20,42.2,"0.7",0,6,2018,3,FALSE,3,1
"79",2018-03-21,63.45,"2.4",4,5.4,2018,4,FALSE,3,1
"80",2018-03-22,22.1,"1.4",0.1,3.6,2018,5,FALSE,3,1
"81",2018-03-23,44.85,"0.5",0.7,2.2,2018,6,FALSE,3,1
"82",2018-03-24,31,"2.0",0.1,3.2,2018,7,FALSE,3,1
"83",2018-03-25,11.2,"4.3",0,7.8,2018,1,FALSE,3,1
