"","date","product_type_web","weight","rain","avg_temp","year","weekday","weekend","month","quarter"
"1",2016-01-11,"Salad Accompaniments",17.6,0.7,"1.8",2016,2,FALSE,1,1
"2",2016-01-11,"Salad Cheese",24.2,0.7,"1.8",2016,2,FALSE,1,1
"3",2016-01-11,"Salad Fruit",1.6,0.7,"1.8",2016,2,FALSE,1,1
"4",2016-01-11,"Salad Lettuce",1.5,0.7,"1.8",2016,2,FALSE,1,1
"5",2016-01-11,"Salad Pasta & Grains",31.5,0.7,"1.8",2016,2,FALSE,1,1
"6",2016-01-11,"Salad Proteins",45.75,0.7,"1.8",2016,2,FALSE,1,1
"7",2016-01-11,"Salad Vegetables",18.35,0.7,"1.8",2016,2,FALSE,1,1
"8",2016-01-12,"Salad Accompaniments",6,0,"1.7",2016,3,FALSE,1,1
"9",2016-01-12,"Salad Cheese",5.1,0,"1.7",2016,3,FALSE,1,1
"10",2016-01-12,"Salad Fruit",1.6,0,"1.7",2016,3,FALSE,1,1
"11",2016-01-12,"Salad Lettuce",2,0,"1.7",2016,3,FALSE,1,1
"12",2016-01-12,"Salad Pasta & Grains",18.8,0,"1.7",2016,3,FALSE,1,1
"13",2016-01-12,"Salad Proteins",7.4,0,"1.7",2016,3,FALSE,1,1
"14",2016-01-12,"Salad Vegetables",13.35,0,"1.7",2016,3,FALSE,1,1
"15",2016-01-13,"Salad Accompaniments",7.6,0,"-2.6",2016,4,FALSE,1,1
"16",2016-01-13,"Salad Cheese",11.75,0,"-2.6",2016,4,FALSE,1,1
"17",2016-01-13,"Salad Lettuce",1.5,0,"-2.6",2016,4,FALSE,1,1
"18",2016-01-13,"Salad Pasta & Grains",26.5,0,"-2.6",2016,4,FALSE,1,1
"19",2016-01-13,"Salad Proteins",26.5,0,"-2.6",2016,4,FALSE,1,1
"20",2016-01-13,"Salad Vegetables",11.15,0,"-2.6",2016,4,FALSE,1,1
"21",2016-01-14,"Salad Accompaniments",3,0,"-6.4",2016,5,FALSE,1,1
"22",2016-01-14,"Salad Cheese",10.2,0,"-6.4",2016,5,FALSE,1,1
"23",2016-01-14,"Salad Fruit",1.6,0,"-6.4",2016,5,FALSE,1,1
"24",2016-01-14,"Salad Lettuce",2.5,0,"-6.4",2016,5,FALSE,1,1
"25",2016-01-14,"Salad Pasta & Grains",17.3,0,"-6.4",2016,5,FALSE,1,1
"26",2016-01-14,"Salad Proteins",16.35,0,"-6.4",2016,5,FALSE,1,1
"27",2016-01-14,"Salad Vegetables",13.95,0,"-6.4",2016,5,FALSE,1,1
"28",2016-01-15,"Salad Accompaniments",5,0.9,"-8.8",2016,6,FALSE,1,1
"29",2016-01-15,"Salad Cheese",11.75,0.9,"-8.8",2016,6,FALSE,1,1
"30",2016-01-15,"Salad Lettuce",2,0.9,"-8.8",2016,6,FALSE,1,1
"31",2016-01-15,"Salad Pasta & Grains",17.3,0.9,"-8.8",2016,6,FALSE,1,1
"32",2016-01-15,"Salad Proteins",27.3,0.9,"-8.8",2016,6,FALSE,1,1
"33",2016-01-15,"Salad Vegetables",5.3,0.9,"-8.8",2016,6,FALSE,1,1
"34",2016-01-16,"Salad Accompaniments",3,1,"-7.3",2016,7,TRUE,1,1
"35",2016-01-16,"Salad Cheese",7.35,1,"-7.3",2016,7,TRUE,1,1
"36",2016-01-16,"Salad Pasta & Grains",17.7,1,"-7.3",2016,7,TRUE,1,1
"37",2016-01-16,"Salad Proteins",19.05,1,"-7.3",2016,7,TRUE,1,1
"38",2016-01-16,"Salad Vegetables",8.65,1,"-7.3",2016,7,TRUE,1,1
"39",2016-01-17,"Salad Accompaniments",3,0,"-11.8",2016,1,TRUE,1,1
"40",2016-01-17,"Salad Cheese",4.4,0,"-11.8",2016,1,TRUE,1,1
"41",2016-01-17,"Salad Lettuce",1,0,"-11.8",2016,1,TRUE,1,1
"42",2016-01-17,"Salad Proteins",7.1,0,"-11.8",2016,1,TRUE,1,1
"43",2016-01-17,"Salad Vegetables",5.1,0,"-11.8",2016,1,TRUE,1,1
"44",2016-01-18,"Salad Accompaniments",10,24.4,"-1.7",2016,2,FALSE,1,1
"45",2016-01-18,"Salad Cheese",14.7,24.4,"-1.7",2016,2,FALSE,1,1
"46",2016-01-18,"Salad Fruit",1.6,24.4,"-1.7",2016,2,FALSE,1,1
"47",2016-01-18,"Salad Lettuce",1,24.4,"-1.7",2016,2,FALSE,1,1
"48",2016-01-18,"Salad Pasta & Grains",26.7,24.4,"-1.7",2016,2,FALSE,1,1
"49",2016-01-18,"Salad Proteins",16.9,24.4,"-1.7",2016,2,FALSE,1,1
"50",2016-01-18,"Salad Vegetables",11.45,24.4,"-1.7",2016,2,FALSE,1,1
"51",2016-01-19,"Salad Accompaniments",10,0,"-1.9",2016,3,FALSE,1,1
"52",2016-01-19,"Salad Cheese",21.25,0,"-1.9",2016,3,FALSE,1,1
"53",2016-01-19,"Salad Fruit",3.2,0,"-1.9",2016,3,FALSE,1,1
"54",2016-01-19,"Salad Lettuce",3,0,"-1.9",2016,3,FALSE,1,1
"55",2016-01-19,"Salad Pasta & Grains",39.4,0,"-1.9",2016,3,FALSE,1,1
"56",2016-01-19,"Salad Proteins",41.3,0,"-1.9",2016,3,FALSE,1,1
"57",2016-01-19,"Salad Vegetables",11.35,0,"-1.9",2016,3,FALSE,1,1
"58",2016-01-20,"Salad Accompaniments",13.6,0,"-7.4",2016,4,FALSE,1,1
