highpm10	cars	temp2m	windspeed	winddirection	time
0	2308	-4.4	4.2	1	4
0	3084	-5.7	4.8	1	2
0	110	-13.5	4.3	1	1
0	1854	1.4	3	2	4
1	2351	4.1	5.6	4	2
0	2662	5.8	2.3	3	2
0	2478	2.7	1.9	3	2
0	2387	7.1	8.9	3	3
0	984	4.1	2	3	2
0	2159	1.1	5.2	1	2
0	303	-9	3.4	1	1
0	4166	1.6	4.4	1	3
0	105	-0.4	5.7	3	1
1	1618	-4.8	6	1	4
1	2484	-0.9	1.4	3	3
0	144	-0.5	0.6	4	1
0	2450	-1	1.8	1	2
0	2042	-2.3	5.2	1	2
0	184	5.8	2.6	1	1
1	2084	5.1	2.2	3	3
0	2372	10.8	2.4	4	3
0	4080	12.2	4	3	3
0	2079	-2.8	2.1	3	2
0	1159	11.2	3.3	4	4
0	1608	13.6	0.6	2	2
0	1935	-12.3	3.7	1	2
0	2758	4.2	1.4	2	2
0	1616	-2.8	4.5	1	4
0	1771	3.4	7.2	3	2
0	53	-11.7	2.7	1	1
1	3137	-2.5	3.2	1	2
0	795	3.9	4.8	1	2
0	1550	3	1.4	3	4
0	1883	0	6.1	3	4
0	124	-2.6	2.1	1	1
0	2442	1	2.2	2	2
1	1667	-0.2	1.1	2	4
0	2865	7.7	4.8	1	3
1	3777	10.7	5.3	3	3
0	4053	9.3	7.3	3	3
1	3879	9.5	5	3	3
0	1814	1.6	4.5	2	4
0	662	-3.4	0.5	3	1
0	2308	-1.3	4.2	1	3
0	859	-3.2	2.6	1	4
1	678	-1.8	2.3	1	4
0	118	-0.5	0.5	4	1
1	2663	7.6	4	2	3
0	226	3.4	2.9	1	1
0	45	7.4	3.2	3	1
0	131	-3.5	3.8	1	1
0	3831	19.8	4.8	3	3
0	2579	16.3	3.4	3	4
0	3844	-7.3	5	1	2
1	1575	-0.6	0.8	1	4
0	1986	-0.4	4.5	1	3
0	4239	17.8	5	3	3
0	102	-1.9	2.2	3	1
0	1634	-10	3.8	1	4
0	656	-1.3	2.9	1	4
0	495	4.7	1.5	2	1
1	2087	0.3	1.5	2	3
0	1985	8.8	2.2	3	4
0	623	-9.3	3.6	1	2
0	1097	-2.4	5.8	1	4
1	1799	2.9	1.2	4	4
0	2446	2.5	5	2	2
0	1906	13.4	3.9	3	4
0	925	-15.5	3.1	1	4
0	1791	-1.6	2.2	3	2
0	1979	0.1	2.6	1	2
0	249	-2.8	0.5	1	1
0	3591	-0.9	1.3	1	2
0	387	-10.3	1.2	1	4
1	1906	-4.1	0.7	3	3
1	2369	-3.8	4.9	1	2
1	2976	8.2	5.6	3	3
0	1278	-4.8	4.7	1	4
0	2864	-4.3	6	1	3
1	717	6.2	1.3	3	4
0	2650	3.3	5.8	1	4
1	1696	-1	1.8	1	4
0	142	-4	1.7	1	1
0	169	7.8	1.6	3	1
0	1348	-5.3	1.8	1	3
0	1739	2.2	3.1	1	3
0	1867	14.8	4.2	3	2
0	3407	-4.8	1.5	3	3
0	1010	12.8	1	2	4
0	1239	-3.2	4.6	1	2
0	3962	0.7	0.8	1	2
0	1930	3.5	6.9	3	3
0	2103	-6.8	2.2	1	3
1	2147	8.3	0.7	3	3
0	551	-19	2.3	1	2
0	1185	7	4	1	2
0	1543	-14.6	1.6	3	3
0	2874	3.6	3.2	3	3
0	1558	3.5	1.9	3	4
0	1884	5.2	0.9	4	2
0	767	-8.3	2.6	1	4
0	1931	0.6	3.8	1	2
0	3571	-0.5	0.7	3	3
0	2013	1	2.4	3	3
1	1888	-8	0.6	1	3
1	3677	-3	1.5	1	2
0	318	5	3.2	1	1
0	1005	-5.1	0.8	3	4
0	3633	0.2	2.4	1	2
1	2003	12.9	5.6	1	3
1	1888	2.6	2.6	3	2
1	2223	7.8	8	1	3
0	256	-0.7	2	3	1
0	2174	7.7	1.5	1	3
0	2699	1.5	1.3	4	3
0	2361	15.8	3.2	2	3
0	2916	4.3	5.7	3	2
0	2691	8.1	6.4	3	2
1	3792	11.6	6	3	3
0	1183	2.8	3.2	3	2
0	2304	-4.4	4.9	1	2
0	1074	-5.1	3.3	1	4
1	3934	2	2.5	3	3
0	3019	10	4.8	1	2
0	327	1.1	4	1	1
0	1736	6.1	2.5	2	4
0	507	0.1	1.9	3	1
0	635	-2.6	4.9	1	4
1	2248	7.9	0.4	4	4
0	2771	4.8	9.4	3	3
0	708	2.6	2.8	3	2
1	3543	-9.6	1.1	3	3
0	169	-1.5	2.5	3	1
0	94	3.8	5.8	3	1
0	302	1.8	2.7	3	1
0	3614	-0.7	4.1	3	2
0	149	3.6	2.7	4	1
0	1633	3.9	6.2	3	4
0	765	4.7	3.6	1	4
0	541	-2.5	4.9	1	2
0	1699	-9.9	4.5	1	2
0	2435	1.7	2	1	3
1	1535	-12.8	3.5	1	4
1	1837	4.3	2.1	1	4
0	2227	2.1	3.1	1	2
0	104	-2.2	4.9	1	1
1	2378	3.3	1.8	3	2
1	157	5.6	3.5	1	1
0	352	-0.6	0.6	2	1
0	252	3.4	4.7	3	1
0	2745	0.2	2.8	4	3
0	846	-6.4	2.8	1	4
0	690	8	1.9	1	2
1	2511	3.6	0.8	1	4
0	2318	-13.4	4	1	3
1	302	-2.1	1.3	1	1
